Date,Introvert(I),Extrovert(E),Judging(J),Perceiving(P),Feeling(F),Thinking(T),Sensing(S),Intuition(I),Flesch,Novelty Score,Novelty Ratio,Smog,Kincaid,Coleman,Readability,Dae Chall,Linsear Write,Gunning Fog,ENFJ - The Giver,ENFP - The Champion,ENTJ - The Commander,ENTP - The Debater,ESFJ - The Caregiver,ESFP - The Performer,ESTJ - The Director,ESTP - The Persuader,INFJ - The Advocate,INFP - The Mediator,INTJ - The Architect,INTP - The Thinker,ISFJ - The Protector,ISFP - The Artist,ISTJ - The Inspector,ISTP - The Crafter,agriculture_environment,arts_culture,business_industry,economics_finance,education_language,employment_labour,government_politics,health_safety,indigenous_affairs,information_communications,international_affairs,law_justice,science_technology,social_affairs,HIntrovert(I),HExtrovert(E),HJudging(J),HPerceiving(P),HFeeling(F),HThinking(T),HSensing(S),HIntuition(I),HFlesch,HNovelty Score,HNovelty Ratio,HSmog,HKincaid,HColeman,HReadability,HDae Chall,HLinsear Write,HGunning Fog,HENFJ - The Giver,HENFP - The Champion,HENTJ - The Commander,HENTP - The Debater,HESFJ - The Caregiver,HESFP - The Performer,HESTJ - The Director,HESTP - The Persuader,HINFJ - The Advocate,HINFP - The Mediator,HINTJ - The Architect,HINTP - The Thinker,HISFJ - The Protector,HISFP - The Artist,HISTJ - The Inspector,HISTP - The Crafter,Hagriculture_environment,Harts_culture,Hbusiness_industry,Heconomics_finance,Heducation_language,Hemployment_labour,Hgovernment_politics,Hhealth_safety,Hindigenous_affairs,Hinformation_communications,Hinternational_affairs,Hlaw_justice,Hscience_technology,Hsocial_affairs
1578377643,0.961515,0.0384855,0.022671,0.977329,0.112373,0.887627,0.0292193,0.970781,-19.88,69,75.82417582417582,0.0,38.4,13.54,49.0,11.78,59.5,40.89,0.0097256,0.0202602,0.171642,0.159031,0.00785009,0.0134297,0.00334394,0.0298913,0.417767,0.00712374,0.0549463,0.0760125,0.00707597,0.00616625,0.00408921,0.0116446,0.0008346,6.00417e-05,9.0216e-05,0.00171179,0.000157725,0.00350922,0.0230179,0.214184,0.00046199,0.00334071,0.00127515,0.274074,0.00136537,0.475918,0.5,0.5,0.998457,0.00154341,0.997769,0.00223125,0.5,0.5,121.22,1,100.0,0.0,-3.5,-28.01,-6.9,0.05,-0.5,0.4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
1578326912,0.312162,0.687838,0.000733678,0.999266,0.994743,0.00525733,0.959107,0.0408933,27.83,39,88.63636363636364,0.0,20.1,12.2,24.7,9.07,30.0,22.78,0.0197692,0.00248991,0.0076637,0.00717667,0.00039143,0.00406432,0.00886945,0.0695679,0.0167987,0.00257529,0.839992,0.0118183,0.000555143,0.00153747,0.000778185,0.00595269,0.00828711,0.00807879,0.00686434,0.0730592,0.00366258,0.159085,0.475156,0.0404353,0.00900624,0.0380593,0.0698251,0.0323791,0.026255,0.0498475,0.5,0.5,0.998457,0.00154341,0.997769,0.00223125,0.5,0.5,121.22,1,100.0,0.0,-3.5,-28.01,-6.9,0.05,-0.5,0.4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
1577967068,0.999103,0.000897036,1.82032e-07,1.0,0.956944,0.0430563,0.00253099,0.997469,12.61,167,70.76271186440678,19.0,25.9,13.19,33.1,10.05,61.0,26.99,0.00603297,0.0615343,0.00441662,0.605603,0.00299613,0.00334658,0.015539,0.00898162,0.0114623,0.0966578,0.0945133,0.0695223,0.00159049,0.0111476,0.00139117,0.00526464,0.033062,9.45501e-05,0.00123041,0.00401038,0.000201187,0.0087544,0.374542,0.0398794,0.000636942,0.0296737,0.208005,0.000631473,0.036035,0.263244,0.566011,0.433989,0.00279331,0.997207,0.781315,0.218685,0.10201,0.89799,64.38,15,46.875,0.0,12.2,8.31,15.2,6.7,18.0,14.05,0.0115786,0.0105309,0.00718132,0.00461424,0.00688876,0.0152639,0.00475129,0.00735851,0.0392732,0.00642175,0.136679,0.307594,0.0437149,0.00720143,0.269805,0.121143,0.0144799,0.00132902,0.000475722,0.00596375,0.00992856,0.0556562,0.0935747,0.402597,0.00247907,0.00260795,0.0620124,0.023526,0.00338215,0.321987
1577679334,0.880653,0.119347,1.84416e-06,0.999998,0.323239,0.676761,0.0409566,0.959043,-104.13,112,75.67567567567568,0.0,64.6,18.65,81.9,16.31,79.0,67.04,0.00223794,0.000192314,0.00360523,5.89057e-05,9.01621e-06,1.60974e-05,4.91313e-05,0.000101555,6.5523e-05,6.42104e-05,0.99291,0.000412376,5.39422e-05,7.58584e-06,5.48872e-06,0.000210447,0.00794328,0.000141281,0.000203183,0.000602298,0.000436859,0.00212999,0.362449,0.200592,0.000509223,0.0456655,0.0180985,0.00231078,0.149956,0.208962,0.0754087,0.924591,0.0793771,0.920623,0.657166,0.342834,0.468166,0.531834,40.69,11,50.0,0.0,13.1,19.61,19.5,8.32,13.0,10.62,4.90749e-06,3.24466e-07,8.35713e-07,0.000851001,6.023e-07,4.18151e-07,9.76944e-07,4.31657e-07,6.85968e-07,8.65189e-07,0.999137,2.68117e-07,4.0567e-07,1.96065e-07,2.90349e-07,4.05733e-07,0.0105202,0.0105681,0.0246158,0.0166453,0.00610706,0.00379111,0.026033,0.0367339,0.00252481,0.328204,0.00588297,0.0156214,0.50481,0.00794237
1577432282,0.936793,0.0632067,0.00251402,0.997486,0.379541,0.620459,0.294427,0.705573,4.15,125,74.40476190476191,0.0,33.3,11.57,43.7,10.99,29.0,35.85,0.30596,0.0323609,0.0125989,0.083322,0.00343761,0.0147619,0.00127712,0.021014,0.0714201,0.0241932,0.367882,0.01464,0.00493555,0.00135291,0.0186763,0.0221679,0.00119508,0.000130732,0.000389878,0.00059132,0.000524628,0.00582397,0.38381,0.359412,0.00165447,0.00316721,0.0149467,0.000244924,0.00207594,0.226033,0.0541497,0.94585,0.84598,0.15402,0.412426,0.587574,0.0445333,0.955467,72.5,12,50.0,0.0,9.1,10.1,13.3,7.46,12.0,9.6,0.000882975,0.000339061,0.000441539,0.00158268,0.000730725,0.000500823,0.000352803,0.00198995,0.0130736,0.000962572,0.974382,0.000708547,0.00163123,0.00143782,0.000584995,0.000398846,0.00523714,0.021122,0.151329,0.00799312,0.0618243,0.161859,0.0339303,0.0164615,0.0133817,0.0758105,0.0287838,0.26428,0.0241313,0.133856
1577382627,0.998975,0.00102507,2.84729e-05,0.999972,0.146444,0.853556,0.0139756,0.986024,-96.68,127,72.1590909090909,0.0,70.0,11.05,88.8,14.72,58.0,71.9,0.0028634,0.00704441,0.00429491,0.00546005,0.000456719,0.0157398,0.00493712,0.0231104,0.00844356,0.0968327,0.645719,0.171721,0.00350873,0.0034059,0.00304949,0.00341304,0.00843143,0.000665835,0.00110832,0.00721071,0.000125621,0.00524443,0.366336,0.0115959,0.00107781,0.0271296,0.00281509,0.000962836,0.017233,0.550064,0.5,0.5,0.998457,0.00154341,0.997769,0.00223125,0.5,0.5,121.22,1,100.0,0.0,-3.5,-28.01,-6.9,0.05,-0.5,0.4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
1577247548,0.974304,0.0256958,0.000514402,0.999486,0.206552,0.793448,0.242249,0.757751,2.49,153,65.38461538461539,20.3,31.9,11.22,40.9,10.45,30.5,34.19,0.102538,0.00306772,0.00108559,0.00830328,0.000494295,0.000614076,0.01662,0.00948802,0.000664599,0.00165643,0.846861,0.00253602,0.0009177,0.000519333,0.000865366,0.0037692,0.000635396,0.000128353,0.000908483,0.0115859,0.000191149,0.00374646,0.0874467,0.00354558,0.000487558,0.00186439,0.0258266,0.000651275,0.00097877,0.862003,0.873919,0.126081,0.0683807,0.931619,0.698186,0.301814,0.979473,0.0205273,56.93,3,50.0,0.0,6.8,10.08,6.7,6.57,4.0,9.07,7.39514e-05,3.20538e-05,1.94488e-05,0.994705,4.29369e-05,3.61898e-05,1.88293e-05,0.000248772,3.22256e-05,5.13995e-05,0.00459214,3.76238e-05,1.98997e-05,2.88042e-05,2.08817e-05,3.94328e-05,0.000672348,0.000363417,0.000924688,0.000425172,0.00100913,0.00216904,0.0111545,0.944732,0.00149508,0.00376335,0.00126772,0.00382769,0.00180084,0.0263953
1575827358,0.998972,0.00102781,0.0344393,0.965561,0.617733,0.382267,0.0779696,0.92203,47.12,23,95.83333333333334,0.0,12.7,13.93,17.8,9.43,16.0,12.93,0.0735775,0.00293406,0.00474875,0.635725,0.00836794,0.00877613,0.00867888,0.0163103,0.0296966,0.0102513,0.0968322,0.00530176,0.0161826,0.0727956,0.00145633,0.00836529,0.00297807,0.0024777,0.00472454,0.00091564,0.00132853,0.00112035,0.00725797,0.954279,0.00114309,0.00657014,0.001787,0.000312436,0.00938838,0.00571748,0.395617,0.604383,0.012814,0.987186,0.214506,0.785494,0.640828,0.359172,88.74,4,50.0,0.0,2.9,3.55,1.4,6.01,3.0,3.2,0.0195893,0.0251582,0.0345576,0.0317413,0.136353,0.0277753,0.0309286,0.0343654,0.108243,0.103449,0.0828251,0.13401,0.0257093,0.0272319,0.123243,0.05482,0.0443013,0.0188981,0.0147862,0.0840513,0.0184049,0.0200516,0.206589,0.0584861,0.00796209,0.0173861,0.0600301,0.360184,0.0189733,0.0698959
1569128128,0.999946,5.38363e-05,1.17312e-06,0.999999,0.136029,0.863971,0.0228056,0.977194,15.31,20,90.9090909090909,0.0,16.6,17.0,18.7,11.9,18.0,17.89,0.998546,5.24279e-07,0.00143719,2.35188e-06,3.87107e-07,9.62185e-07,1.62725e-06,6.25506e-07,2.084e-06,4.68596e-07,2.8977e-06,9.89588e-07,1.2537e-06,3.74352e-07,6.81339e-07,1.18327e-06,0.0631767,0.00629159,0.286716,0.100331,0.00577653,0.178351,0.0459595,0.0424588,0.00727234,0.00553166,0.137819,0.00113753,0.0164425,0.102735,0.000446874,0.999553,0.0565515,0.943449,0.959314,0.0406859,0.999947,5.32382e-05,53.55,13,50.0,0.0,12.3,12.02,16.2,7.36,15.0,11.94,0.0247763,0.0199365,0.0241675,0.0655773,0.0177751,0.0119307,0.00762669,0.121175,0.0130655,0.096148,0.0420123,0.0124053,0.39843,0.0892837,0.0481928,0.00749747,0.010717,0.00520111,0.27038,0.0772773,0.0200665,0.0246368,0.142945,0.0301364,0.0104176,0.0381784,0.306615,0.00534499,0.0155442,0.0425396
1568537692,0.78106,0.21894,0.659738,0.340262,0.81604,0.18396,0.969038,0.0309618,21.06,8,100.0,0.0,12.3,15.15,11.4,11.93,7.0,23.2,0.00260647,0.02862,0.0498783,0.377094,0.00688666,0.0430488,0.0957384,0.00586872,0.00363705,0.026387,0.318941,0.00673046,0.00680602,0.0143542,0.00684608,0.00655677,0.0743387,0.0152476,0.00724267,0.115165,0.0190607,0.0624632,0.133135,0.0243662,0.0111552,0.018141,0.0286495,0.0409139,0.0118399,0.438281,0.5,0.5,0.998457,0.00154341,0.997769,0.00223125,0.5,0.5,121.22,1,100.0,0.0,-3.5,-28.01,-6.9,0.05,-0.5,0.4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
