Date,Content,Discourse-Agreement_percentage,Discourse-Announcement_percentage,Discourse-Answer_percentage,Discourse-Appreciation_percentage,Discourse-Disagreement_percentage,Discourse-Elaboration_percentage,Discourse-Humor_percentage,Discourse-Negative_reaction,Discourse-Question_percentage,Discourse_Other_percentage,Introvert(I),Extrovert(E),Judging(J),Perceiving(P),Feeling(F),Thinking(T),Sensing(S),Intuition(I),Flesch,Novelty Score,Novelty Ratio,Smog,Kincaid,Coleman,Readability,Dae Chall,Linsear Write,Gunning Fog,ENFJ - The Giver,ENFP - The Champion,ENTJ - The Commander,ENTP - The Debater,ESFJ - The Caregiver,ESFP - The Performer,ESTJ - The Director,ESTP - The Persuader,INFJ - The Advocate,INFP - The Mediator,INTJ - The Architect,INTP - The Thinker,ISFJ - The Protector,ISFP - The Artist,ISTJ - The Inspector,ISTP - The Crafter,agriculture_environment,arts_culture,business_industry,economics_finance,education_language,employment_labour,government_politics,health_safety,indigenous_affairs,information_communications,international_affairs,law_justice,science_technology,social_affairs
18/06/2009,Wishing my cutest brother a very berry cherry Happy Birthday!! I miss you.,9.01556,7.4663900000000005,1.92588,59.73309999999999,2.12939,1.44109,3.08794,1.60021,1.7934100000000002,11.806999999999999,0.00140569,0.998594,0.999999,1.26754e-06,0.941077,0.0589225,0.997352,0.0026482,81.8,13,100.0,0.0,3.5,6.09,4.3,5.17,2.25,2.6,0.00379562,0.00179743,0.000987357,0.001145,0.00639741,0.00750985,0.00670614,0.00573282,0.00102237,0.905622,0.000332909,0.00294081,0.00169064,0.00414444,0.00121088,0.0489639,0.00340618,0.0020621,0.00135741,0.0769198,0.0465408,0.0169037,0.345002,0.00416771,0.00541759,0.0355316,0.00438454,0.00594539,0.00573392,0.446627
30/06/2011,"Heyyy Usha Di, how are ya?? hope you are having great time in India :) wish you a very very very Happy Birthday!! hope u enjoy ur day heaps. take care. love ya 
",2.4396999999999998,71.8766,0.42166699999999996,13.7485,1.0403,2.61168,2.09504,0.935566,1.4646700000000001,3.36622,0.00393096,0.996069,0.998059,0.00194084,0.698861,0.301139,0.998073,0.00192749,72.84,28,84.84848484848484,0.0,11.1,4.89,13.4,2.08,16.5,12.8,0.00647845,0.00744178,0.0102353,0.0447187,0.0676041,0.0274508,0.018559,0.0119117,0.00825804,0.587276,0.00485024,0.0207628,0.0141414,0.00863854,0.00625922,0.155414,0.0503675,0.0146017,0.0398364,0.00703165,0.0233078,0.0554502,0.500239,0.0246988,0.00716922,0.0236058,0.0229057,0.0509096,0.0216393,0.158237
04/07/2011,"Hey GP

wish you a very very Happy Birthday !! hope you have a good one :)
God Bless!
love
Prince&Leenu",3.0362400000000003,5.12385,0.319108,71.3468,1.2195799999999999,5.9841,4.8142499999999995,1.51147,0.83052,5.81412,0.0605993,0.939401,0.999827,0.000172908,0.39227,0.60773,0.998331,0.00166884,102.95,18,85.71428571428571,0.0,3.6,7.43,9.6,0.94,10.5,7.6,0.00258695,0.00965261,0.00473854,0.00945478,0.0484386,0.0164916,0.0914551,0.00806553,0.00533539,0.751681,0.00183961,0.0138348,0.00971848,0.00866716,0.00527107,0.012769,0.00648779,0.0104367,0.0112628,0.0106846,0.0239528,0.0123495,0.123086,0.0130431,0.00368245,0.025729,0.00843114,0.448111,0.0182432,0.284499
07/07/2011,"Heyyy wish you a very very happy Birthday sweety !! hope you enjoy your day :) God Bless ya . love
",2.80885,21.3113,0.212123,64.4058,0.495192,0.724968,2.82667,1.7615200000000002,0.606668,4.84693,0.0610695,0.93893,0.999972,2.82088e-05,0.868589,0.131411,0.999818,0.000182103,78.59,19,90.47619047619048,0.0,6.8,6.26,8.2,0.89,10.5,7.2,0.00780237,0.0724279,0.00439977,0.012475,0.0438171,0.0287878,0.0175484,0.014132,0.00940388,0.711617,0.00222481,0.0125853,0.00985557,0.00515175,0.00587054,0.0419004,0.00710985,0.0203803,0.0129189,0.00768429,0.0180427,0.0198756,0.237953,0.0176035,0.00624043,0.0364992,0.0130362,0.0527667,0.028147,0.521742
07/07/2011,"heyyyyyyyyy love you :)
",1.15958,1.22741,0.0596767,65.48349999999999,24.4268,0.691323,1.4468999999999999,0.959672,1.01346,3.53161,0.221644,0.778356,0.98916,0.0108404,0.587938,0.412062,0.956848,0.0431522,93.81,4,100.0,0.0,0.9,11.15,13.0,0.15,1.0,1.2,0.0564097,0.107322,0.0393012,0.0154627,0.201175,0.0764329,0.294207,0.0193985,0.0144739,0.0494413,0.0112271,0.0144195,0.0394406,0.020463,0.0169982,0.0238263,0.0180421,0.0799169,0.60041,0.0130713,0.0139827,0.011638,0.0225746,0.00919393,0.0106247,0.0516193,0.0111719,0.00797548,0.104982,0.0447963
07/07/2011,"Happy Birthday to you, happy birthday to you, happy birthhday , happy birthday!! happy birthday to Karen (Singing) clap clap clap !!! love, Prince&Leenu
",4.038889999999999,12.8874,4.29789,43.5982,1.49689,0.9395330000000001,3.83893,1.37515,2.10855,25.418499999999998,0.00279255,0.997207,0.996142,0.00385848,0.354029,0.645971,0.998416,0.0015836,49.15,15,62.5,0.0,11.9,13.81,17.4,1.81,13.0,10.62,5.85595e-05,2.53468e-05,4.1911e-05,0.000163507,3.92219e-05,0.00561144,3.59209e-05,0.000192597,3.23221e-05,0.993513,3.22859e-05,0.000125092,3.15047e-05,4.52195e-05,3.09365e-05,2.06799e-05,0.000638695,0.0169943,0.000307127,0.00112321,0.00555158,0.0020752,0.270656,0.00818501,0.000907257,0.00301827,0.000691647,0.000498682,0.000790133,0.688563
09/07/2011,"Happy happy Happy Birthday!! enjoy!! God bless <3 Prince&Leenu
",0.222769,0.422609,0.008213080000000001,98.298,0.0419487,0.043246,0.393246,0.13777399999999998,0.054381399999999996,0.377826,0.366213,0.633787,0.999304,0.00069585,0.468839,0.531161,0.992382,0.00761759,66.91,8,88.88888888888889,0.0,5.0,9.24,9.6,0.22,1.25,1.8,0.00549825,0.00341243,0.00179091,0.00190786,0.00290865,0.00508233,0.00193602,0.00781405,0.001684,0.908536,0.000833498,0.00501851,0.0450938,0.00345263,0.00357832,0.00145234,0.00227585,0.00397809,0.00169576,0.00284545,0.00709186,0.0146463,0.32041,0.0269819,0.0028013,0.0123677,0.0038343,0.00255007,0.00179148,0.59673
12/07/2011,"Happpyy Happy Birthday !! God bless ya.
",4.97818,14.311599999999999,0.059374899999999994,56.76989999999999,0.5648610000000001,1.208,9.45696,1.2490899999999998,1.03616,10.3659,0.00572749,0.994273,0.999998,1.97395e-06,0.960524,0.0394761,0.999982,1.79721e-05,59.97,7,100.0,0.0,5.6,4.42,6.8,6.42,0.75,1.2,3.50782e-05,2.43972e-05,4.88537e-05,7.03383e-05,0.000107765,0.00024251,7.8389e-05,0.000494902,4.94798e-05,0.998375,1.40215e-05,0.000253524,2.26598e-05,2.62202e-05,9.15631e-05,6.52859e-05,0.000616067,0.00101061,0.000253371,0.00226718,0.00834665,0.00233462,0.231599,0.00528698,0.000786381,0.00238997,0.00186834,0.00142511,0.000955639,0.74086
12/07/2011,"Happy Birthday !! God Bless ya .
",4.97818,14.311599999999999,0.059374899999999994,56.76989999999999,0.5648610000000001,1.208,9.45696,1.2490899999999998,1.03616,10.3659,0.00572749,0.994273,0.999998,1.97395e-06,0.960524,0.0394761,0.999982,1.79721e-05,49.48,7,100.0,0.0,7.6,6.12,6.5,0.25,2.5,2.0,3.50782e-05,2.43972e-05,4.88537e-05,7.03383e-05,0.000107765,0.00024251,7.8389e-05,0.000494902,4.94798e-05,0.998375,1.40215e-05,0.000253524,2.26598e-05,2.62202e-05,9.15631e-05,6.52859e-05,0.000616067,0.00101061,0.000253371,0.00226718,0.00834665,0.00233462,0.231599,0.00528698,0.000786381,0.00238997,0.00186834,0.00142511,0.000955639,0.74086
12/07/2011,"Neaaaaaa Neeaaaaaa Neeaaaaaa missshhhhhhh youuu... pic??? and i love u shooo much !!
",13.4482,10.539900000000001,9.43845,20.3714,6.053999999999999,7.23144,8.29371,8.52316,5.04813,11.0516,0.1044,0.8956,0.981713,0.0182872,0.660766,0.339234,0.762526,0.237474,59.3,12,92.3076923076923,0.0,8.0,13.27,13.2,6.86,6.5,8.13,0.0300371,0.126122,0.0185164,0.0902717,0.0391241,0.092626,0.0341373,0.126528,0.0646251,0.0318525,0.0362241,0.0587766,0.0523283,0.0836314,0.0670063,0.0481929,0.0841489,0.183786,0.0993291,0.040554,0.0183885,0.0447638,0.0666058,0.0229333,0.0349566,0.150528,0.022602,0.0547058,0.115822,0.0608755
21/07/2011,Love and Trust the one who can see three things in you:           1)Sorrow behind your Smile :)2)Love behind your Anger.      3)Reason behind your Silence!!,5.18745,28.8642,10.1738,12.2706,18.6779,7.66292,2.95563,2.3641900000000002,3.92915,7.91423,0.618165,0.381835,0.668363,0.331637,0.769607,0.230393,0.801188,0.198812,21.74,20,83.33333333333334,0.0,16.2,9.35,13.7,1.19,12.0,9.6,0.00370753,0.0100282,0.00420595,0.0132451,0.00608077,0.905405,0.00110334,0.00238699,0.0149488,0.020723,0.000624839,0.00560177,0.00569296,0.00140702,0.00211666,0.00272165,0.0143395,0.0157183,0.0210996,0.00497195,0.00757231,0.0145615,0.023705,0.0210893,0.00640742,0.0633093,0.0179749,0.296981,0.0629151,0.429355
28/09/2011,heyyyy u in Melbourne??,2.13089,3.95885,1.26193,1.34806,79.905,4.11633,1.9622600000000001,1.8903699999999999,1.47079,1.95548,0.0277158,0.972284,0.507762,0.492238,0.328388,0.671612,0.242794,0.757206,92.8,4,100.0,0.0,1.3,2.9,4.1,7.78,1.0,1.6,0.0192725,0.0834735,0.0233537,0.134497,0.0214367,0.0678872,0.0216281,0.14808,0.0795002,0.0194757,0.104489,0.0814571,0.0217437,0.0466334,0.0724119,0.0546599,0.0350289,0.0385374,0.339783,0.0978756,0.029705,0.0295143,0.0880958,0.0330427,0.0224735,0.0451339,0.0345118,0.0369585,0.0478182,0.121522
06/12/2011,"To one of the most special person in my life,
Wsh you a very very very Happy Birthday! Wish you all the happiness and may all your dreams come true.
I love you heaps and misshh u sho much..
I'm sure you will have a rocking B'day with someone special ;);)
Endless love
Leenu
mmwwahhh mwwaaahhh <3<3
",5.1654800000000005,9.65318,27.3214,36.0672,2.68769,1.26259,2.10254,1.5001799999999998,1.24752,12.9922,0.937839,0.0621611,0.91067,0.0893297,0.571489,0.428511,0.875423,0.124577,91.11,46,80.7017543859649,6.0,4.0,6.49,6.4,6.02,6.375,5.6,0.0486933,0.0227742,0.024361,0.041368,0.0425061,0.0229193,0.0129274,0.0164243,0.0047476,0.414818,0.0468305,0.0265104,0.008237,0.0425812,0.00830751,0.215994,0.00307443,0.00906161,0.00447395,0.00209771,0.011016,0.0132973,0.32169,0.271165,0.00263784,0.0162313,0.00667063,0.00192924,0.0105341,0.326121
16/12/2011,"Happy Happy Birthday sweety!! Have a good one :-) I have lost all my contacts babe.. message me ur number, we gotta catch up xoxoxo... God Bless! love ya heaps.. mwwahhh mmwaahhh <3
",0.623788,0.763287,0.7336739999999999,95.3882,0.158688,0.334624,0.938215,0.24502600000000002,0.16706,0.647395,0.000197247,0.999803,0.999996,3.80021e-06,0.773386,0.226614,0.999973,2.69844e-05,85.99,32,96.96969696969697,3.1,3.9,6.01,6.0,6.63,4.5,4.28,0.034506,0.0219316,0.00890066,0.0234038,0.0161865,0.0126278,0.00541709,0.465545,0.00627542,0.221027,0.00138715,0.0139401,0.0168307,0.0592339,0.0880896,0.00469698,0.00129024,0.00305558,0.000753653,0.00286168,0.00197629,0.00571145,0.545171,0.00947104,0.000948803,0.00578515,0.00569559,0.106415,0.00340228,0.307463
29/12/2011,"Ms. Neha, How are you baby??
I miss u heaps... Have ya got BBM or whatsapp?? 
love you",0.8668800000000001,1.0013400000000001,0.025804300000000002,2.43561,0.494423,15.106300000000001,0.583986,0.659788,77.8464,0.9793939999999999,0.119832,0.880168,0.983349,0.0166508,0.885523,0.114477,0.992894,0.00710588,107.69,17,94.44444444444444,3.1,-0.4,-1.18,-0.2,6.57,2.0,2.4,0.053132,0.0269529,0.0262061,0.0161134,0.0361793,0.178628,0.0087624,0.121545,0.0153959,0.273635,0.0188939,0.0219996,0.0109943,0.0170898,0.0159979,0.158475,0.0306535,0.028004,0.0980748,0.00605608,0.0293214,0.0240907,0.270835,0.0302208,0.00821963,0.264653,0.00794757,0.0139097,0.126357,0.061657
06/01/2012,"Happy Happy Happy birthday uncle!! Wish you all the happiness in the world !
missshhh u a lot and u are simply the sweetest uncle :) ",1.2939,5.44111,1.1162,85.392,0.578166,1.49791,1.03921,0.6718970000000001,0.96428,2.00535,0.0227479,0.977252,0.532385,0.467615,0.605103,0.394897,0.988799,0.0112007,67.76,21,80.76923076923077,0.0,6.8,6.71,5.8,6.21,6.0,4.8,0.00530178,0.0413751,0.0158002,0.0700473,0.023686,0.0252966,0.0331679,0.0580558,0.0714284,0.576483,0.0106889,0.0206154,0.0109144,0.0245545,0.00379607,0.00878831,0.00302773,0.00146046,0.0319425,0.00685227,0.00640819,0.00630408,0.0702697,0.224764,0.00115826,0.0164469,0.00729165,0.000537159,0.00676675,0.61677
09/01/2012,"Preeetttiiiiiiiiieeeee, I love you baby <3<3",8.734020000000001,6.8286,2.4508900000000002,30.110999999999997,3.0125699999999997,19.344900000000003,8.162469999999999,4.23794,3.70201,13.4156,0.689574,0.310426,0.998945,0.00105526,0.764902,0.235098,0.994595,0.00540524,-27.68,6,100.0,0.0,18.6,13.97,12.2,9.2,3.0,9.07,0.0509894,0.145954,0.041334,0.0432987,0.0591093,0.0304465,0.0327136,0.0275289,0.0333682,0.23767,0.0153286,0.0322349,0.107517,0.0558435,0.0218211,0.0648426,0.0602368,0.0711842,0.221361,0.0438105,0.0168629,0.0368703,0.0575425,0.0255629,0.0132616,0.0509807,0.011976,0.0184524,0.262596,0.109302
20/02/2012,"Nea Nea Neaaa.... i misshhh u heaps... and the call dropped out. I will call u soon xoxox mmuuuaahhh <3
",4.53543,3.68863,9.34396,61.90330000000001,2.03323,3.80703,3.01749,2.91234,2.11324,6.64536,0.00482702,0.995173,0.974797,0.025203,0.529816,0.470184,0.484973,0.515027,86.71,17,85.0,0.0,3.7,3.28,3.6,6.5,5.0,8.0,0.0898771,0.0481771,0.0140715,0.0581018,0.0115989,0.123078,0.0140329,0.0484243,0.102643,0.0318315,0.107797,0.134128,0.0244736,0.108942,0.04319,0.0396337,0.000175075,0.000135162,5.51249e-05,0.000100517,6.66691e-05,0.00018016,0.000456135,0.000101257,4.69291e-05,0.000432913,0.000121974,7.85481e-05,0.997853,0.000196825
02/03/2012,"Happy Birthday Hun :) God Bless !! hope u enjoy ur day :) lots of love and best wishes <3
",0.873429,81.652,0.0559389,14.8603,0.131188,0.182452,1.09256,0.275933,0.154885,0.72135,0.0190616,0.980938,0.999961,3.91809e-05,0.524255,0.475745,0.999559,0.000440764,71.14,19,95.0,0.0,7.6,4.23,6.8,5.41,9.0,6.8,0.0224669,0.24267,0.0146524,0.0377408,0.0186091,0.0152899,0.00431852,0.0273182,0.0221982,0.535538,0.00164633,0.0119069,0.0033825,0.0333322,0.00562463,0.00330572,0.00105147,0.00168219,0.00122319,0.000830952,0.00188983,0.00114232,0.0379663,0.00200449,0.00119474,0.00947999,0.00183074,0.00121896,0.0106603,0.927825
02/03/2012,"Happy Birthday !! wish you all the happiness u desire :) Enjoy ur day ! God Bless <3
",1.22548,32.0731,0.0464288,60.861,0.262888,0.48947699999999994,1.58363,0.331695,0.584607,2.54172,0.539111,0.460889,0.999671,0.000329224,0.738384,0.261616,0.995871,0.00412941,63.86,18,100.0,0.0,6.2,4.31,3.7,0.37,4.0,3.0,0.00356072,0.00406347,0.00406396,0.00490549,0.00619244,0.0102253,0.00103418,0.0108999,0.00209706,0.934342,0.000889918,0.00652865,0.00189574,0.00698578,0.000707139,0.0016081,0.000400406,0.00126934,0.000524786,0.000670326,0.00167216,0.00126175,0.511533,0.027947,0.000711899,0.00172308,0.00110389,0.000490973,0.00103076,0.449661
03/04/2012,"""LIFE is short... Break the RULES.. FORGIVE quickly, KISS slowly, LOVE truly, LAUGH uncontrollably, and NEVER REGRET anything that made you SMILE"" :-) :-)",2.64675,7.46381,49.3541,4.92132,2.09579,25.677699999999998,1.335,2.6383199999999998,1.73401,2.13328,0.00397041,0.99603,0.999521,0.00047864,0.197741,0.802259,0.982188,0.0178119,72.53,23,95.83333333333334,6.4,5.0,10.1,10.3,5.43,3.333333333333333,4.74,0.00719115,0.00465881,0.0266507,0.030682,0.0552099,0.025253,0.0814246,0.0413959,0.0551829,0.437316,0.0616004,0.00502057,0.0239875,0.00706851,0.0979242,0.0394335,0.00627242,0.00640005,0.003966,0.0490257,0.00747312,0.0192654,0.199103,0.0693793,0.00628873,0.038637,0.0399774,0.462148,0.0109263,0.0811378
22/04/2012,"Hey Preeeetttttiiiiiiii
kaisi hai? its been ages havent spoken to u...
some one has started driving now :) hhhmmm hope ur enjoying... love u heapz and miss u too bits <3
mmwwahhh mmwwaahhh !! keep smiling always !!",5.5367,7.62028,39.2811,24.0225,2.4140800000000002,7.44035,3.27331,4.19467,1.75774,4.459309999999999,0.00118721,0.998813,0.991563,0.00843673,0.376874,0.623126,0.996979,0.0030208,35.95,36,94.73684210526315,0.0,16.9,10.8,20.3,9.43,22.0,17.43,0.00578915,0.810762,0.00226493,0.0268002,0.00168184,0.00425843,0.061603,0.00487925,0.0104459,0.00171692,0.0029185,0.0110458,0.00643011,0.0381794,0.00770779,0.00351681,0.0455547,0.0106995,0.0281763,0.00669526,0.0337274,0.0161432,0.103291,0.128429,0.00317025,0.052212,0.220134,0.0855483,0.0543257,0.211893
31/05/2012,"Wish you a very very Happy Birthday Kamali :-) 
God Bless !! Lots of love and best wishes
Prince&Leenu <3
",7.056030000000001,12.1583,3.0897799999999997,59.641,1.6579799999999998,2.0796599999999996,6.443309999999999,1.4968199999999998,0.796067,5.58108,0.150823,0.849177,0.998807,0.00119287,0.123638,0.876362,0.994087,0.00591326,87.72,19,95.0,0.0,3.3,7.04,6.1,5.84,4.0,3.6,0.00804039,0.00937222,0.0102422,0.0187314,0.0955667,0.0072143,0.0126768,0.0122557,0.0145234,0.747462,0.00352725,0.00970976,0.0088401,0.0255932,0.00590178,0.0103429,0.000892131,0.00176644,0.00183689,0.000576549,0.0029114,0.00128078,0.017139,0.00241288,0.000564083,0.00973932,0.0014864,0.000332596,0.0060241,0.953037
14/06/2012,"i miisssss u :(
",9.24382,10.5262,4.79838,20.4863,5.7232400000000005,8.39024,10.5206,10.616399999999999,8.04172,11.6531,0.0022757,0.997724,0.978753,0.0212473,0.240629,0.759371,0.946535,0.0534645,59.97,4,100.0,0.0,5.6,-4.29,0.5,9.05,1.0,1.2,0.0266561,0.0888545,0.0254432,0.121041,0.0356508,0.0852259,0.0368312,0.139737,0.0648158,0.0295001,0.0425273,0.071786,0.0336121,0.0757711,0.0780566,0.0444913,0.0554061,0.0691083,0.244489,0.0986405,0.0434485,0.0413382,0.0424446,0.0467534,0.0361742,0.0671281,0.0559259,0.0784007,0.0765899,0.0441524
18/06/2012,"Happy Birthday to you! Happy Birthday to you!! Happy Birthday Happy Birthday Happy Birthday to my pyara bhai :) (singing) clap! Clap! Clap!! Love u heaps and enjoy ur day ! God Bless.. Lots of love n best wishes, Prince&Leenu",2.58713,20.8211,8.943660000000001,48.998999999999995,0.768103,0.442885,3.2738799999999997,1.0156699999999999,1.27656,11.872,7.41091e-05,0.999926,0.999732,0.000267902,0.734482,0.265518,0.999748,0.00025209,80.68,30,75.0,3.1,3.9,6.28,5.4,0.79,3.0,3.04,1.43977e-05,1.47614e-05,2.90329e-05,3.77928e-05,3.22771e-05,0.000834057,1.31732e-05,9.42916e-05,2.06945e-05,0.998779,5.41785e-06,5.65972e-05,1.45503e-05,2.83195e-05,1.35816e-05,1.1899e-05,0.000903501,0.0336898,0.0012214,0.00272379,0.00812169,0.00280691,0.27529,0.00699489,0.00129764,0.0123874,0.00110393,0.000491461,0.00599987,0.646968
21/06/2012,Wish you a very bery cherry Happy Birthday !! God Bless !! Lots of love ,6.42694,13.065,1.78929,53.5203,1.54609,2.18253,9.92779,1.60628,1.0118399999999999,8.924,0.22517,0.77483,0.999426,0.000573562,0.185948,0.814052,0.996547,0.00345257,73.34,14,93.33333333333333,0.0,4.6,3.42,2.4,0.32,2.75,2.6,0.00050215,0.0024256,0.00213637,0.00237666,0.00746239,0.00188839,0.00125067,0.00312163,0.000583172,0.969782,0.000519994,0.0021087,0.00187049,0.00216549,0.000604389,0.00120142,0.00416192,0.0128054,0.00585835,0.0203809,0.0156085,0.00984344,0.093199,0.011477,0.0040932,0.116482,0.00630959,0.00728604,0.105012,0.587483
22/06/2012,Love u Mady <3 ,7.16905,4.99556,2.53375,57.997600000000006,2.17747,2.7571,7.36006,3.8528399999999996,4.02084,7.135759999999999,0.0484107,0.951589,0.970572,0.0294281,0.6763,0.3237,0.460874,0.539126,92.8,4,100.0,0.0,1.3,-8.71,-6.6,0.2,1.0,1.6,0.209077,0.345892,0.0127954,0.0476999,0.0141536,0.0347289,0.00875713,0.0592362,0.0773235,0.0105153,0.0204559,0.030714,0.012105,0.0675001,0.0301199,0.0189266,0.0582914,0.140651,0.29025,0.00923268,0.0132045,0.0138948,0.0245939,0.0159725,0.0101749,0.0977928,0.0169757,0.00779205,0.264498,0.0366757
04/07/2012,"Wish you a very very Happy Birthday !! Hope you enjoy your day :-) God Bless !! Lots of love and best wishes, Prince&Leenu",2.86455,6.10461,42.747600000000006,39.1853,0.66968,0.66662,3.1189299999999998,1.17732,0.493899,2.97144,0.0759433,0.924057,0.999117,0.000883035,0.186277,0.813723,0.992616,0.00738428,89.75,21,87.5,3.1,2.5,4.94,4.3,1.1,3.0,2.8,0.017729,0.013622,0.0107268,0.038537,0.0836676,0.0188712,0.0179536,0.0155681,0.0386445,0.650395,0.00577588,0.0150316,0.0103334,0.0231907,0.00856833,0.0313848,0.000758289,0.00172391,0.00147648,0.00045046,0.0021356,0.00154502,0.0277501,0.00356753,0.000773462,0.00941505,0.00143485,0.00192036,0.00575862,0.94129
