Date,Content,Introvert(I),Extrovert(E),Judging(J),Perceiving(P),Feeling(F),Thinking(T),Sensing(S),Intuition(I),Flesch,Novelty Score,Novelty Ratio,Smog,Kincaid,Coleman,Readability,Dae Chall,Linsear Write,Gunning Fog,ENFJ - The Giver,ENFP - The Champion,ENTJ - The Commander,ENTP - The Debater,ESFJ - The Caregiver,ESFP - The Performer,ESTJ - The Director,ESTP - The Persuader,INFJ - The Advocate,INFP - The Mediator,INTJ - The Architect,INTP - The Thinker,ISFJ - The Protector,ISFP - The Artist,ISTJ - The Inspector,ISTP - The Crafter,agriculture_environment,arts_culture,business_industry,economics_finance,education_language,employment_labour,government_politics,health_safety,indigenous_affairs,information_communications,international_affairs,law_justice,science_technology,social_affairs
2019-03-09,truth bias,0.997089,0.00291111,1.08985e-05,0.999989,0.00538883,0.994611,8.13118e-05,0.999919,120.21,2,100.0,0.0,-3.1,-4.51,0.8,0.1,0.0,0.8,0.017782,0.0216051,0.0176917,0.132984,0.0239459,0.0248245,0.260548,0.0264385,0.0170489,0.10029,0.0888422,0.199512,0.0078829,0.0163156,0.0263461,0.0179437,0.0161394,0.034194,0.00586735,0.0363717,0.0230343,0.00642675,0.0802661,0.0426,0.3896,0.0206195,0.0683136,0.0535162,0.0831315,0.139919
2019-03-09,amok,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121.22,1,100.0,0.0,-3.5,-22.21,-2.2,0.05,-0.5,0.4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
2019-03-09,grammarly,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.62,1,100.0,0.0,8.4,6.8,21.5,19.48,-0.5,0.4,0.195728,0.199709,0.0144096,0.0122576,0.0149361,0.0151779,0.0144259,0.0144449,0.0126363,0.0132294,0.0101437,0.197994,0.0148202,0.0138561,0.015572,0.24066,0.0103418,0.0132751,0.0282089,0.327714,0.0128475,0.0123727,0.0431149,0.0103076,0.0116968,0.0124623,0.0109023,0.484638,0.0129057,0.00921197
2019-03-09,experimental researcher,0.5,0.5,0.000198472,0.999802,0.526531,0.473469,1.17549e-05,0.999988,-91.3,2,100.0,0.0,26.5,33.2,31.4,19.53,1.0,20.8,0.0214917,0.0206621,0.0424165,0.0226147,0.0282556,0.0249518,0.218549,0.0317772,0.0228139,0.203146,0.0246972,0.209978,0.0275997,0.0289706,0.027481,0.0445956,0.200117,0.0228817,0.119735,0.0522802,0.0495228,0.0303375,0.0818421,0.237054,0.0169049,0.0207527,0.05023,0.0040865,0.0922822,0.0219732
2019-03-09,grammarly api,0.5,0.5,0.5,0.5,0.000107547,0.999892,0.706779,0.293221,77.91,2,100.0,0.0,2.9,4.2,7.8,11.63,0.0,0.8,0.195728,0.199709,0.0144096,0.0122576,0.0149361,0.0151779,0.0144259,0.0144449,0.0126363,0.0132294,0.0101437,0.197994,0.0148202,0.0138561,0.015572,0.24066,0.0103418,0.0132751,0.0282089,0.327714,0.0128475,0.0123727,0.0431149,0.0103076,0.0116968,0.0124623,0.0109023,0.484638,0.0129057,0.00921197
2019-03-09,industrial automation,0.5,0.5,7.52078e-05,0.999925,0.0634493,0.936551,0.00132099,0.998679,-133.6,2,100.0,0.0,32.4,27.4,26.7,19.53,2.0,40.8,9.01755e-05,3.73134e-05,0.00410124,6.59564e-05,0.00011447,5.37626e-05,4.72836e-05,0.000167564,3.57988e-05,1.89377e-05,0.995052,6.59352e-05,5.25589e-05,2.0782e-05,2.62717e-05,4.98103e-05,0.0167585,0.00500507,0.208856,0.0273475,0.00423114,0.020269,0.0166422,0.0122126,0.0114772,0.0337424,0.0199944,0.00510221,0.610199,0.00816278
2019-03-09,two careers and three funding opportunities,0.0642484,0.935752,0.00183681,0.998163,0.733407,0.266593,0.00385552,0.996144,31.55,6,100.0,0.0,10.4,15.88,11.4,11.83,3.0,9.07,0.0121575,0.00227451,0.00832064,0.00725241,0.000995457,0.00551582,0.00188459,0.17429,0.691236,0.00526393,0.0136957,0.0112861,0.0067107,0.00538832,0.00197221,0.0517562,0.0371314,0.0706608,0.0760417,0.0502751,0.10942,0.0702985,0.131337,0.0968616,0.0710556,0.0760123,0.0659177,0.00427265,0.0202015,0.120513
2019-03-09,two careers harvard,0.154793,0.845207,0.0166585,0.983342,0.0249961,0.975004,0.00145524,0.998545,59.97,3,100.0,0.0,5.6,7.32,6.8,14.31,0.5,1.2,0.0482771,0.0232269,0.102657,0.0378493,0.0107022,0.0245433,0.0125668,0.264021,0.106154,0.0106767,0.0700553,0.190195,0.0335385,0.0298153,0.0124458,0.0232764,0.00285556,0.0139448,0.0071334,0.00473298,0.0104531,0.0481178,0.018832,0.0213208,0.0065557,0.225075,0.406415,0.0784111,0.0283957,0.127758
2019-03-09,two careers harvard,0.154793,0.845207,0.0166585,0.983342,0.0249961,0.975004,0.00145524,0.998545,59.97,3,100.0,0.0,5.6,7.32,6.8,14.31,0.5,1.2,0.0482771,0.0232269,0.102657,0.0378493,0.0107022,0.0245433,0.0125668,0.264021,0.106154,0.0106767,0.0700553,0.190195,0.0335385,0.0298153,0.0124458,0.0232764,0.00285556,0.0139448,0.0071334,0.00473298,0.0104531,0.0481178,0.018832,0.0213208,0.0065557,0.225075,0.406415,0.0784111,0.0283957,0.127758
2019-03-09,two careers,0.154793,0.845207,0.0166585,0.983342,0.444037,0.555963,0.0232794,0.976721,77.91,2,100.0,0.0,2.9,-1.61,3.1,11.63,0.0,0.8,0.0482771,0.0232269,0.102657,0.0378493,0.0107022,0.0245433,0.0125668,0.264021,0.106154,0.0106767,0.0700553,0.190195,0.0335385,0.0298153,0.0124458,0.0232764,0.00681753,0.0397131,0.00303013,0.0220944,0.0284166,0.21294,0.133934,0.0917169,0.0173187,0.145181,0.114895,0.0263928,0.00845376,0.149097
2019-03-08,remove all special characters from string python,0.300542,0.699458,0.100485,0.899515,0.00488289,0.995117,0.92368,0.0763204,64.37,7,100.0,0.0,6.0,14.86,10.3,8.5,3.5,8.51,0.0015121,0.00357178,0.00338501,0.204746,0.000855276,0.114245,0.00558519,0.00369925,0.00144806,0.00467831,0.643065,0.00146638,0.000805327,0.00569596,0.000550036,0.00469158,0.231108,0.0105863,0.0926073,0.0144222,0.016708,0.0198264,0.0351076,0.0253014,0.0628488,0.160629,0.0296932,0.194513,0.0523541,0.0542946
2019-03-08,utf8 codec can&#39;t decode byte 0x96 in position 64 : invalid start byte,0.770177,0.229823,0.158952,0.841048,0.483881,0.516119,0.534462,0.465538,67.76,12,92.3076923076923,0.0,6.8,9.38,8.5,9.5,6.5,8.13,0.0575284,0.0545875,0.0563354,0.0694515,0.0612713,0.0628698,0.0596742,0.0680418,0.0680172,0.0720771,0.0555475,0.0629768,0.069989,0.0701067,0.0565801,0.0549458,0.0851681,0.0622357,0.0706041,0.0558167,0.0630806,0.0842706,0.0746641,0.0794562,0.0690745,0.0818463,0.0723451,0.0379312,0.0846602,0.0788466
2019-03-08,utf8 codec can&#39;t decode byte 0x96 in position 64,0.770177,0.229823,0.158952,0.841048,0.483881,0.516119,0.534462,0.465538,79.26,9,100.0,0.0,4.4,7.39,6.1,9.35,4.5,8.04,0.0575284,0.0545875,0.0563354,0.0694515,0.0612713,0.0628698,0.0596742,0.0680418,0.0680172,0.0720771,0.0555475,0.0629768,0.069989,0.0701067,0.0565801,0.0549458,0.0851681,0.0622357,0.0706041,0.0558167,0.0630806,0.0842706,0.0746641,0.0794562,0.0690745,0.0818463,0.0723451,0.0379312,0.0846602,0.0788466
2019-03-08,utf8 codec can&#39;t decode byte,0.770177,0.229823,0.158952,0.841048,0.483881,0.516119,0.534462,0.465538,83.32,5,100.0,0.0,2.9,7.28,7.4,10.2,1.5,2.0,0.0575284,0.0545875,0.0563354,0.0694515,0.0612713,0.0628698,0.0596742,0.0680418,0.0680172,0.0720771,0.0555475,0.0629768,0.069989,0.0701067,0.0565801,0.0549458,0.0851681,0.0622357,0.0706041,0.0558167,0.0630806,0.0842706,0.0746641,0.0794562,0.0690745,0.0818463,0.0723451,0.0379312,0.0846602,0.0788466
